                                                        Title                                                  Genre_Film  Film_Duration
7                                                     Sankofa          [Dramas, Independent Movies, International Movies]          125.0
12                                               Je Suis Karl                              [Dramas, International Movies]          127.0
16        Europe's Most Dangerous Man: Otto Skorzeny in Spain                       [Documentaries, International Movies]           67.0
24                                                      Jeans           [Comedies, International Movies, Romantic Movies]          166.0
28                                                 Dark Skies                           [Horror Movies, Sci-Fi & Fantasy]           97.0
30                                            Ankahi Kahaniya          [Dramas, Independent Movies, International Movies]          111.0
35                             The Father Who Moves Mountains                   [Dramas, International Movies, Thrillers]          110.0
36                                             The Stronghold          [Action & Adventure, Dramas, International Movies]          105.0
38                                        Birth of the Dragon                                [Action & Adventure, Dramas]           96.0
41                                                       Jaws                [Action & Adventure, Classic Movies, Dramas]          124.0
43                                                     Jaws 3              [Action & Adventure, Horror Movies, Thrillers]           98.0
44                                          Jaws: The Revenge              [Action & Adventure, Horror Movies, Thrillers]           91.0
51  InuYasha the Movie 2: The Castle Beyond the Looking Glass  [Action & Adventure, Anime Features, International Movies]           99.0
52         InuYasha the Movie 3: Swords of an Honorable Ruler  [Action & Adventure, Anime Features, International Movies]           99.0
56                   Naruto Shippuden the Movie: Blood Prison  [Action & Adventure, Anime Features, International Movies]          102.0
60                Naruto Shippuden: The Movie: The Lost Tower  [Action & Adventure, Anime Features, International Movies]           85.0
68                                                 Schumacher        [Documentaries, International Movies, Sports Movies]          113.0
73                                               King of Boys                              [Dramas, International Movies]          182.0
78                                             Tughlaq Durbar                    [Comedies, Dramas, International Movies]          145.0
79                                    Tughlaq Durbar (Telugu)                    [Comedies, Dramas, International Movies]          145.0
